what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044963400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044964929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044970672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044970828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044971043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044984540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044985695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462044988113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045001299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045001439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045001675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045008572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045009493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045011209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045022524
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1462045022539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045024136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045024336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045035777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045050520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045050614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045050801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045058167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045059694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045061259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045066003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045066128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045066333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045076832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045078516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045094778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045096293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045097603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045103250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045104420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045104648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045115912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045117877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045120030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045125102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045125258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045125458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045146538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045149067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045149941
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1462045157464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045162830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045163033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045163228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045168335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045182536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1462045188717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045246376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045250171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045287133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1462045287149
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462045287757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045290503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045291921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462045292701
